cfg_id;label;backend;formulation;method;delta;instance_name;status;elapsed_s;build_s;solve_s;verify_s;variables;constraints;explored;similarity;continuity;overtime;coverage;weighted_score
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_1;OPTIMUM;0.2893;0.0063;0.0418;0.0001;3371;3079;1;450;7;0;120;443
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_10;OPTIMUM;0.0430;0.0055;0.0353;0.0001;2858;2791;1;426;8;0;120;418
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_11;PARSE_ERROR;;;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_12;PARSE_ERROR;;;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_13;OPTIMUM;0.0656;0.0046;0.0586;0.0001;2204;2192;1;388;5;0;120;383
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_14;OPTIMUM;0.0488;0.0059;0.0407;0.0001;3089;2948;1;423;11;0;120;412
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_15;OPTIMUM;0.0547;0.0063;0.0461;0.0001;3341;3041;1;451;3;0;120;448
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_16;OPTIMUM;0.0356;0.0048;0.0287;0.0001;2300;2344;1;402;3;0;120;399
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_17;OPTIMUM;0.0427;0.0054;0.0351;0.0001;2875;2724;1;427;5;0;120;422
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_18;OPTIMUM;0.0640;0.0069;0.0549;0.0001;3959;3386;1;463;5;0;120;458
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_19;PARSE_ERROR;;;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_2;OPTIMUM;0.0461;0.0042;0.0398;0.0001;2165;2208;1;378;4;0;120;374
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_20;OPTIMUM;0.0378;0.0049;0.0307;0.0001;2444;2469;1;434;6;0;120;428
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_21;INFEASIBLE;0.0072;0.0036;0.0018;0.0000;1837;1922;0;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_22;PARSE_ERROR;;;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_23;PARSE_ERROR;;;;;;;;;;;;;;
